Player_ID,Player,Season,SeasonEndYear,Statistic,Value,Season_Percentile
al-cervi,Al Cervi,1951-52,1952,2P_pct,0.3535714285714286,49.56521739130435
al-mcguire,Al McGuire,1951-52,1952,2P_pct,0.4311377245508982,93.04347826086956
alex-hannum,Alex Hannum,1951-52,1952,2P_pct,0.3679653679653679,64.34782608695652
andy-phillip,Andy Phillip,1951-52,1952,2P_pct,0.3661417322834646,63.47826086956522
arnie-johnson,Arnie Johnson,1951-52,1952,2P_pct,0.4330900243309002,94.78260869565217
arnie-risen,Arnie Risen,1951-52,1952,2P_pct,0.3941684665226782,80.0
art-burris,Art Burris,1951-52,1952,2P_pct,0.2692307692307692,9.130434782608695
belus-smawley,Belus Smawley,1951-52,1952,2P_pct,0.2063492063492063,2.608695652173913
bill-calhoun,Bill Calhoun,1951-52,1952,2P_pct,0.3154034229828851,23.47826086956522
bill-closs,Bill Closs,1951-52,1952,2P_pct,0.3084832904884318,20.869565217391305
bill-gabor,Bill Gabor,1951-52,1952,2P_pct,0.3215613382899628,26.956521739130434
bill-sharman,Bill Sharman,1951-52,1952,2P_pct,0.3885350318471338,78.26086956521739
bill-tosheff,Bill Tosheff,1951-52,1952,2P_pct,0.3271889400921659,29.565217391304348
bob-brannum,Bob Brannum,1951-52,1952,2P_pct,0.3688118811881188,66.08695652173913
bob-cousy,Bob Cousy,1951-52,1952,2P_pct,0.3688760806916426,66.95652173913044
bob-davies,Bob Davies,1951-52,1952,2P_pct,0.3828282828282828,72.17391304347827
bob-donham,Bob Donham,1951-52,1952,2P_pct,0.486682808716707,100.0
bob-harris,Bob Harris,1951-52,1952,2P_pct,0.4103671706263499,87.82608695652173
bob-harrison,Bob Harrison,1951-52,1952,2P_pct,0.3203285420944558,25.217391304347824
bob-lavoy,Bob Lavoy,1951-52,1952,2P_pct,0.3973509933774834,82.6086956521739
bob-wilson,Bob Wilson,1951-52,1952,2P_pct,0.2992424242424242,16.52173913043478
bobby-wanzer,Bobby Wanzer,1951-52,1952,2P_pct,0.4248704663212435,91.30434782608695
bones-mckinney,Bones McKinney,1951-52,1952,2P_pct,0.3253588516746411,28.695652173913043
brady-walker,Brady Walker,1951-52,1952,2P_pct,0.4101382488479262,86.95652173913044
cal-christensen,Cal Christensen,1951-52,1952,2P_pct,0.3020833333333333,18.26086956521739
charlie-black,Charlie Black,1951-52,1952,2P_pct,0.1935483870967742,1.7391304347826086
chuck-cooper,Chuck Cooper,1951-52,1952,2P_pct,0.3614678899082569,60.869565217391305
chuck-share,Chuck Share,1951-52,1952,2P_pct,0.3220338983050847,27.82608695652174
cliff-barker,Cliff Barker,1951-52,1952,2P_pct,0.2981366459627329,15.652173913043478
connie-simmons,Connie Simmons,1951-52,1952,2P_pct,0.3783333333333333,71.30434782608695
dave-minor,Dave Minor,1951-52,1952,2P_pct,0.3544061302681992,51.30434782608695
dick-dickey,Dick Dickey,1951-52,1952,2P_pct,0.2941176470588235,14.782608695652174
dick-mcguire,Dick McGuire,1951-52,1952,2P_pct,0.430379746835443,92.17391304347827
dick-mehen,Dick Mehen,1951-52,1952,2P_pct,0.3555825242718446,53.04347826086956
dike-eddleman,Dike Eddleman,1951-52,1952,2P_pct,0.3321033210332103,32.17391304347826
dillard-crocker,Dillard Crocker,1951-52,1952,2P_pct,0.3512544802867383,47.82608695652174
dolph-schayes,Dolph Schayes,1951-52,1952,2P_pct,0.3554054054054054,52.17391304347826
don-barksdale,Don Barksdale,1951-52,1952,2P_pct,0.3383084577114428,39.130434782608695
don-boven,Don Boven,1951-52,1952,2P_pct,0.2994011976047904,17.391304347826086
don-lofgran,Don Lofgran,1951-52,1952,2P_pct,0.3573141486810551,55.65217391304348
don-otten,Don Otten,1951-52,1952,2P_pct,0.3490566037735849,44.34782608695652
don-rehfeldt,Don Rehfeldt,1951-52,1952,2P_pct,0.3473684210526316,42.608695652173914
don-savage,Don Savage,1951-52,1952,2P_pct,0.2093023255813953,3.4782608695652173
ed-dahler,Ed Dahler,1951-52,1952,2P_pct,0.3684210526315789,65.21739130434783
ed-macauley,Ed Macauley,1951-52,1952,2P_pct,0.4324324324324324,93.91304347826087
ed-mikan,Ed Mikan,1951-52,1952,2P_pct,0.3537653239929947,50.43478260869565
elmer-behnke,Elmer Behnke,1951-52,1952,2P_pct,0.2727272727272727,10.434782608695652
ernie-vandeweghe,Ernie Vandeweghe,1951-52,1952,2P_pct,0.437636761487965,95.65217391304348
frank-kudelka,Frank Kudelka,1951-52,1952,2P_pct,0.3322475570032573,33.04347826086956
frankie-brian,Frankie Brian,1951-52,1952,2P_pct,0.3518518518518518,48.69565217391305
fred-schaus,Fred Schaus,1951-52,1952,2P_pct,0.3611825192802056,59.130434782608695
fred-scolari,Fred Scolari,1951-52,1952,2P_pct,0.3344867358708189,34.78260869565217
gene-vance,Gene Vance,1951-52,1952,2P_pct,0.2692307692307692,9.130434782608695
george-kaftan,George Kaftan,1951-52,1952,2P_pct,0.3745928338762215,69.56521739130434
george-king,George King,1951-52,1952,2P_pct,0.4058721934369603,86.08695652173913
george-mikan,George Mikan,1951-52,1952,2P_pct,0.3854314002828854,73.04347826086956
george-ratkovicz,George Ratkovicz,1951-52,1952,2P_pct,0.3488372093023256,43.47826086956522
george-senesky,George Senesky,1951-52,1952,2P_pct,0.3612334801762114,60.0
gerry-calabrese,Gerry Calabrese,1951-52,1952,2P_pct,0.3438485804416404,40.869565217391305
harry-gallatin,Harry Gallatin,1951-52,1952,2P_pct,0.4421252371916508,96.52173913043478
herb-scherer,Herb Scherer,1951-52,1952,2P_pct,0.2923076923076923,13.91304347826087
howie-schultz,Howie Schultz,1951-52,1952,2P_pct,0.2825396825396825,13.043478260869565
jack-coleman,Jack Coleman,1951-52,1952,2P_pct,0.4150943396226415,89.56521739130434
jack-kerris,Jack Kerris,1951-52,1952,2P_pct,0.3875,77.3913043478261
jack-kiley,Jack Kiley,1951-52,1952,2P_pct,0.2279792746113989,6.086956521739131
jake-fendley,Jake Fendley,1951-52,1952,2P_pct,0.3176470588235294,24.347826086956523
jerry-fowler,Jerry Fowler,1951-52,1952,2P_pct,0.3076923076923077,20.0
jim-pollard,Jim Pollard,1951-52,1952,2P_pct,0.3558441558441558,53.91304347826087
jim-slaughter,Jim Slaughter,1951-52,1952,2P_pct,0.3212121212121212,26.08695652173913
joe-fulks,Joe Fulks,1951-52,1952,2P_pct,0.3116883116883117,21.73913043478261
joe-graboski,Joe Graboski,1951-52,1952,2P_pct,0.3869407496977025,75.65217391304348
joe-holland,Joe Holland,1951-52,1952,2P_pct,0.350943396226415,46.08695652173913
joe-hutton,Joe Hutton,1951-52,1952,2P_pct,0.3354430379746835,37.391304347826086
joe-mcnamee,Joe McNamee,1951-52,1952,2P_pct,0.3063063063063063,19.130434782608695
john-mahnken,John Mahnken,1951-52,1952,2P_pct,0.3436123348017621,40.0
john-mcconathy,John McConathy,1951-52,1952,2P_pct,0.1379310344827586,0.8695652173913043
john-pilch,John Pilch,1951-52,1952,2P_pct,0.1,0.0
john-rennicke,John Rennicke,1951-52,1952,2P_pct,0.2222222222222222,4.782608695652174
kevin-o-shea,Kevin O'Shea,1951-52,1952,2P_pct,0.3283261802575107,30.434782608695652
larry-foust,Larry Foust,1951-52,1952,2P_pct,0.3943377148634985,80.8695652173913
leo-barnhorst,Leo Barnhorst,1951-52,1952,2P_pct,0.3890746934225195,79.1304347826087
lew-hitch,Lew Hitch,1951-52,1952,2P_pct,0.3581395348837209,56.52173913043478
max-zaslofsky,Max Zaslofsky,1951-52,1952,2P_pct,0.336116910229645,38.26086956521739
mel-hutchins,Mel Hutchins,1951-52,1952,2P_pct,0.3649289099526066,62.608695652173914
mel-payton,Mel Payton,1951-52,1952,2P_pct,0.3857142857142857,73.91304347826087
nat-clifton,Nat Clifton,1951-52,1952,2P_pct,0.3347050754458162,35.65217391304348
nate-delong,Nate DeLong,1951-52,1952,2P_pct,0.4761904761904761,99.1304347826087
neil-johnston,Neil Johnston,1951-52,1952,2P_pct,0.471571906354515,98.26086956521739
nelson-bobb,Nelson Bobb,1951-52,1952,2P_pct,0.3594771241830065,57.391304347826086
noble-jorgensen,Noble Jorgensen,1951-52,1952,2P_pct,0.4130434782608695,88.69565217391305
odie-spears,Odie Spears,1951-52,1952,2P_pct,0.3947368421052631,81.73913043478261
paul-arizin,Paul Arizin,1951-52,1952,2P_pct,0.4484451718494271,97.3913043478261
paul-noel,Paul Noel,1951-52,1952,2P_pct,0.2222222222222222,4.782608695652174
paul-seymour,Paul Seymour,1951-52,1952,2P_pct,0.3349593495934959,36.52173913043478
paul-walther,Paul Walther,1951-52,1952,2P_pct,0.4007285974499089,84.34782608695652
pep-saul,Pep Saul,1951-52,1952,2P_pct,0.360091743119266,58.26086956521739
ralph-johnson,Ralph Johnson,1951-52,1952,2P_pct,0.3564189189189189,54.78260869565217
ralph-o-brien,Ralph O'Brien,1951-52,1952,2P_pct,0.3719412724306688,68.69565217391305
ray-lumpp,Ray Lumpp,1951-52,1952,2P_pct,0.3865546218487395,74.78260869565217
ray-ragelis,Ray Ragelis,1951-52,1952,2P_pct,0.2604166666666667,7.826086956521739
red-holzman,Red Holzman,1951-52,1952,2P_pct,0.2795698924731182,12.173913043478262
red-owens,Red Owens,1951-52,1952,2P_pct,0.3293650793650793,31.304347826086957
red-rocha,Red Rocha,1951-52,1952,2P_pct,0.4005340453938584,83.47826086956522
sam-ranzino,Sam Ranzino,1951-52,1952,2P_pct,0.3333333333333333,33.91304347826087
slater-martin,Slater Martin,1951-52,1952,2P_pct,0.375,70.43478260869566
stan-brown,Stan Brown,1951-52,1952,2P_pct,0.3492063492063492,45.21739130434783
stan-miasek,Stan Miasek,1951-52,1952,2P_pct,0.3649222065063649,61.73913043478261
vern-gardner,Vern Gardner,1951-52,1952,2P_pct,0.3711340206185567,67.82608695652173
vern-mikkelsen,Vern Mikkelsen,1951-52,1952,2P_pct,0.4191685912240184,90.43478260869566
vince-boryla,Vince Boryla,1951-52,1952,2P_pct,0.3869731800766283,76.52173913043478
wah-wah-jones,Wah Wah Jones,1951-52,1952,2P_pct,0.3129770992366412,22.608695652173914
wally-osterkorn,Wally Osterkorn,1951-52,1952,2P_pct,0.3510895883777239,46.95652173913044
walt-budko,Walt Budko,1951-52,1952,2P_pct,0.4041666666666667,85.21739130434783
walt-kirk,Walt Kirk,1951-52,1952,2P_pct,0.2772277227722772,11.304347826086957
whitey-skoog,Whitey Skoog,1951-52,1952,2P_pct,0.3445945945945945,41.73913043478261
zeke-sinicola,Zeke Sinicola,1951-52,1952,2P_pct,0.25,6.956521739130435
al-cervi,Al Cervi,1952-53,1953,2P_pct,0.4366197183098591,96.7479674796748
al-masino,Al Masino,1952-53,1953,2P_pct,0.335,31.70731707317073
al-mcguire,Al McGuire,1952-53,1953,2P_pct,0.3902439024390244,81.30081300813008
alex-hannum,Alex Hannum,1952-53,1953,2P_pct,0.3583333333333333,52.84552845528455
andrew-levane,Andrew Levane,1952-53,1953,2P_pct,0.125,1.6260162601626016
andy-phillip,Andy Phillip,1952-53,1953,2P_pct,0.397456279809221,83.73983739837398
arnie-johnson,Arnie Johnson,1952-53,1953,2P_pct,0.3794037940379404,70.73170731707317
arnie-risen,Arnie Risen,1952-53,1953,2P_pct,0.3678304239401496,62.60162601626016
bill-calhoun,Bill Calhoun,1952-53,1953,2P_pct,0.3370786516853932,34.959349593495936
bill-gabor,Bill Gabor,1952-53,1953,2P_pct,0.3501628664495114,43.90243902439025
bill-mlkvy,Bill Mlkvy,1952-53,1953,2P_pct,0.3048780487804878,14.634146341463415
bill-sharman,Bill Sharman,1952-53,1953,2P_pct,0.4356756756756756,95.9349593495935
bill-tosheff,Bill Tosheff,1952-53,1953,2P_pct,0.3231162196679438,21.13821138211382
blaine-denning,Blaine Denning,1952-53,1953,2P_pct,0.4,86.17886178861788
bob-brannum,Bob Brannum,1952-53,1953,2P_pct,0.3475046210720887,41.46341463414634
bob-cousy,Bob Cousy,1952-53,1953,2P_pct,0.3515151515151515,46.34146341463415
bob-davies,Bob Davies,1952-53,1953,2P_pct,0.3852272727272727,76.42276422764228
bob-donham,Bob Donham,1952-53,1953,2P_pct,0.4787535410764872,100.0
bob-harris,Bob Harris,1952-53,1953,2P_pct,0.4183006535947712,91.869918699187
bob-harrison,Bob Harrison,1952-53,1953,2P_pct,0.3764478764478765,68.29268292682927
bob-lavoy,Bob Lavoy,1952-53,1953,2P_pct,0.4017857142857143,90.2439024390244
bob-lochmueller,Bob Lochmueller,1952-53,1953,2P_pct,0.3224489795918367,20.32520325203252
bob-naber,Bob Naber,1952-53,1953,2P_pct,0.0,0.0
bob-priddy,Bob Priddy,1952-53,1953,2P_pct,0.3684210526315789,63.41463414634146
bobby-wanzer,Bobby Wanzer,1952-53,1953,2P_pct,0.3672055427251732,60.97560975609756
bucky-mcconnell,Bucky McConnell,1952-53,1953,2P_pct,0.380281690140845,71.54471544715447
cal-christensen,Cal Christensen,1952-53,1953,2P_pct,0.3130434782608696,17.073170731707318
carl-braun,Carl Braun,1952-53,1953,2P_pct,0.4002478314745972,87.8048780487805
chuck-cooper,Chuck Cooper,1952-53,1953,2P_pct,0.3369098712446352,34.146341463414636
chuck-share,Chuck Share,1952-53,1953,2P_pct,0.358267716535433,51.21951219512195
claude-overton,Claude Overton,1952-53,1953,2P_pct,0.2533333333333333,8.94308943089431
connie-simmons,Connie Simmons,1952-53,1953,2P_pct,0.3767660910518053,69.10569105691057
danny-finn,Danny Finn,1952-53,1953,2P_pct,0.3300733496332518,26.829268292682926
dave-minor,Dave Minor,1952-53,1953,2P_pct,0.3666666666666666,59.75609756097561
dick-bunt,Dick Bunt,1952-53,1953,2P_pct,0.2761904761904762,13.008130081300813
dick-groat,Dick Groat,1952-53,1953,2P_pct,0.3676470588235294,61.78861788617886
dick-mcguire,Dick McGuire,1952-53,1953,2P_pct,0.3806970509383378,72.35772357723577
dick-surhoff,Dick Surhoff,1952-53,1953,2P_pct,0.2131147540983606,7.317073170731708
dike-eddleman,Dike Eddleman,1952-53,1953,2P_pct,0.3508005822416303,45.52845528455285
dillard-crocker,Dillard Crocker,1952-53,1953,2P_pct,0.352112676056338,47.96747967479675
dolph-schayes,Dolph Schayes,1952-53,1953,2P_pct,0.374251497005988,66.66666666666667
don-barksdale,Don Barksdale,1952-53,1953,2P_pct,0.3872135102533172,78.04878048780488
don-boven,Don Boven,1952-53,1953,2P_pct,0.3583138173302108,52.03252032520325
don-hanrahan,Don Hanrahan,1952-53,1953,2P_pct,0.34375,39.02439024390244
don-henriksen,Don Henriksen,1952-53,1953,2P_pct,0.4189473684210526,92.6829268292683
don-lofgran,Don Lofgran,1952-53,1953,2P_pct,0.3295238095238095,23.577235772357724
don-otten,Don Otten,1952-53,1953,2P_pct,0.3908045977011494,82.11382113821138
earl-lloyd,Earl Lloyd,1952-53,1953,2P_pct,0.3443708609271523,39.83739837398374
ed-macauley,Ed Macauley,1952-53,1953,2P_pct,0.4523570712136409,98.3739837398374
ed-mikan,Ed Mikan,1952-53,1953,2P_pct,0.2671232876712329,12.195121951219512
eddie-miller,Eddie Miller,1952-53,1953,2P_pct,0.3495518565941101,43.08943089430894
ernie-vandeweghe,Ernie Vandeweghe,1952-53,1953,2P_pct,0.4352,94.3089430894309
frank-kudelka,Frank Kudelka,1952-53,1953,2P_pct,0.3056994818652849,15.447154471544716
frankie-brian,Frankie Brian,1952-53,1953,2P_pct,0.3505007153075822,44.71544715447155
fred-schaus,Fred Schaus,1952-53,1953,2P_pct,0.3337969401947149,30.89430894308943
fred-scolari,Fred Scolari,1952-53,1953,2P_pct,0.3423980222496909,36.58536585365854
gene-conley,Gene Conley,1952-53,1953,2P_pct,0.324074074074074,21.951219512195124
gene-rhodes,Gene Rhodes,1952-53,1953,2P_pct,0.3187134502923976,19.51219512195122
george-feigenbaum,George Feigenbaum,1952-53,1953,2P_pct,0.1818181818181818,5.691056910569106
george-kaftan,George Kaftan,1952-53,1953,2P_pct,0.3169014084507042,17.88617886178862
george-king,George King,1952-53,1953,2P_pct,0.4015748031496063,89.4308943089431
george-mcleod,George McLeod,1952-53,1953,2P_pct,0.125,1.6260162601626016
george-mikan,George Mikan,1952-53,1953,2P_pct,0.3993610223642173,84.55284552845528
george-ratkovicz,George Ratkovicz,1952-53,1953,2P_pct,0.3360258481421648,33.333333333333336
george-senesky,George Senesky,1952-53,1953,2P_pct,0.3298969072164948,25.203252032520325
harry-gallatin,Harry Gallatin,1952-53,1953,2P_pct,0.4440944881889764,97.5609756097561
howie-schultz,Howie Schultz,1952-53,1953,2P_pct,0.2666666666666666,11.382113821138212
jack-coleman,Jack Coleman,1952-53,1953,2P_pct,0.4197860962566845,93.4959349593496
jack-kerris,Jack Kerris,1952-53,1953,2P_pct,0.36328125,56.09756097560975
jack-kiley,Jack Kiley,1952-53,1953,2P_pct,0.2,6.504065040650406
jack-mccloskey,Jack McCloskey,1952-53,1953,2P_pct,0.3333333333333333,29.67479674796748
jack-mcmahon,Jack McMahon,1952-53,1953,2P_pct,0.3295880149812734,24.390243902439025
jack-nichols,Jack Nichols,1952-53,1953,2P_pct,0.3632478632478632,55.28455284552845
jake-fendley,Jake Fendley,1952-53,1953,2P_pct,0.4,86.17886178861788
jerry-fleishman,Jerry Fleishman,1952-53,1953,2P_pct,0.33003300330033,26.016260162601625
jim-baechtold,Jim Baechtold,1952-53,1953,2P_pct,0.3896940418679549,80.48780487804878
jim-brasco,Jim Brasco,1952-53,1953,2P_pct,0.2659574468085106,10.56910569105691
jim-holstein,Jim Holstein,1952-53,1953,2P_pct,0.3576642335766423,50.40650406504065
jim-mooney,Jim Mooney,1952-53,1953,2P_pct,0.3648648648648648,57.72357723577236
jim-pollard,Jim Pollard,1952-53,1953,2P_pct,0.3569131832797427,49.59349593495935
joe-fulks,Joe Fulks,1952-53,1953,2P_pct,0.3458333333333333,40.65040650406504
joe-graboski,Joe Graboski,1952-53,1953,2P_pct,0.3404255319148936,35.77235772357724
john-mahnken,John Mahnken,1952-53,1953,2P_pct,0.3015873015873015,13.821138211382113
john-o-boyle,John O'Boyle,1952-53,1953,2P_pct,0.3076923076923077,16.260162601626018
johnny-payak,Johnny Payak,1952-53,1953,2P_pct,0.3431635388739946,38.21138211382114
kenny-rollins,Kenny Rollins,1952-53,1953,2P_pct,0.3304347826086956,27.642276422764226
kevin-o-shea,Kevin O'Shea,1952-53,1953,2P_pct,0.3756613756613756,67.47967479674797
kleggie-hermsen,Kleggie Hermsen,1952-53,1953,2P_pct,0.1290322580645161,3.252032520325203
larry-foust,Larry Foust,1952-53,1953,2P_pct,0.3595375722543352,53.65853658536585
leo-barnhorst,Leo Barnhorst,1952-53,1953,2P_pct,0.3887814313346228,79.67479674796748
lew-hitch,Lew Hitch,1952-53,1953,2P_pct,0.3490196078431372,42.27642276422764
mark-workman,Mark Workman,1952-53,1953,2P_pct,0.3186274509803921,18.69918699186992
max-zaslofsky,Max Zaslofsky,1952-53,1953,2P_pct,0.384375,74.79674796747967
mel-hutchins,Mel Hutchins,1952-53,1953,2P_pct,0.3788598574821852,69.91869918699187
mel-payton,Mel Payton,1952-53,1953,2P_pct,0.356701030927835,48.78048780487805
mike-o-neill,Mike O'Neill,1952-53,1953,2P_pct,0.2352941176470588,8.130081300813009
mo-mahoney,Mo Mahoney,1952-53,1953,2P_pct,0.4,86.17886178861788
moe-radovich,Moe Radovich,1952-53,1953,2P_pct,0.3846153846153846,75.60975609756098
monk-meineke,Monk Meineke,1952-53,1953,2P_pct,0.3809523809523809,73.17073170731707
nat-clifton,Nat Clifton,1952-53,1953,2P_pct,0.3425692695214106,37.39837398373984
neil-johnston,Neil Johnston,1952-53,1953,2P_pct,0.4524236983842011,99.1869918699187
nelson-bobb,Nelson Bobb,1952-53,1953,2P_pct,0.3742138364779874,65.85365853658537
noble-jorgensen,Noble Jorgensen,1952-53,1953,2P_pct,0.3325688073394495,28.45528455284553
odie-spears,Odie Spears,1952-53,1953,2P_pct,0.4008097165991903,88.6178861788618
paul-hoffman,Paul Hoffman,1952-53,1953,2P_pct,0.3658536585365853,58.53658536585366
paul-seymour,Paul Seymour,1952-53,1953,2P_pct,0.3834586466165413,73.98373983739837
paul-walther,Paul Walther,1952-53,1953,2P_pct,0.351937984496124,47.15447154471545
pep-saul,Pep Saul,1952-53,1953,2P_pct,0.3970276008492569,82.92682926829268
pete-darcey,Pete Darcey,1952-53,1953,2P_pct,0.1666666666666666,4.878048780487805
ralph-johnson,Ralph Johnson,1952-53,1953,2P_pct,0.3333333333333333,29.67479674796748
ralph-o-brien,Ralph O'Brien,1952-53,1953,2P_pct,0.3356643356643357,32.520325203252035
ralph-polson,Ralph Polson,1952-53,1953,2P_pct,0.3631284916201117,54.47154471544715
ray-corley,Ray Corley,1952-53,1953,2P_pct,0.125,1.6260162601626016
ray-lumpp,Ray Lumpp,1952-53,1953,2P_pct,0.3715415019762846,65.04065040650407
red-holzman,Red Holzman,1952-53,1953,2P_pct,0.2550335570469799,9.75609756097561
red-rocha,Red Rocha,1952-53,1953,2P_pct,0.3884057971014493,78.86178861788618
sherwin-raiken,Sherwin Raiken,1952-53,1953,2P_pct,0.1428571428571428,4.065040650406504
slater-martin,Slater Martin,1952-53,1953,2P_pct,0.4100946372239747,91.0569105691057
stan-miasek,Stan Miasek,1952-53,1953,2P_pct,0.3647540983606557,56.91056910569106
vern-mikkelsen,Vern Mikkelsen,1952-53,1953,2P_pct,0.4354838709677419,95.1219512195122
vince-boryla,Vince Boryla,1952-53,1953,2P_pct,0.3702623906705539,64.22764227642277
wally-osterkorn,Wally Osterkorn,1952-53,1953,2P_pct,0.3244274809160305,22.764227642276424
whitey-skoog,Whitey Skoog,1952-53,1953,2P_pct,0.3863636363636363,77.23577235772358
zeke-zawoluk,Zeke Zawoluk,1952-53,1953,2P_pct,0.3666666666666666,59.75609756097561
al-masino,Al Masino,1953-54,1954,2P_pct,0.4193548387096774,92.5925925925926
al-mcguire,Al McGuire,1953-54,1954,2P_pct,0.327683615819209,27.77777777777778
al-roges,Al Roges,1953-54,1954,2P_pct,0.3583061889250814,48.148148148148145
alex-hannum,Alex Hannum,1953-54,1954,2P_pct,0.3479125248508946,41.666666666666664
andy-phillip,Andy Phillip,1953-54,1954,2P_pct,0.375,65.27777777777777
arnie-risen,Arnie Risen,1953-54,1954,2P_pct,0.3681192660550458,57.407407407407405
bato-govedarica,Bato Govedarica,1953-54,1954,2P_pct,0.3164556962025316,23.14814814814815
bill-bolger,Bill Bolger,1953-54,1954,2P_pct,0.4067796610169492,87.96296296296296
bill-calhoun,Bill Calhoun,1953-54,1954,2P_pct,0.3486238532110092,42.592592592592595
bill-gabor,Bill Gabor,1953-54,1954,2P_pct,0.3702359346642468,59.25925925925926
bill-sharman,Bill Sharman,1953-54,1954,2P_pct,0.4502732240437158,97.22222222222223
bill-tosheff,Bill Tosheff,1953-54,1954,2P_pct,0.2906574394463668,13.88888888888889
billy-kenville,Billy Kenville,1953-54,1954,2P_pct,0.384020618556701,75.0
bob-brannum,Bob Brannum,1953-54,1954,2P_pct,0.3090507726269316,20.37037037037037
bob-cousy,Bob Cousy,1953-54,1954,2P_pct,0.3851030110935023,75.92592592592592
bob-davies,Bob Davies,1953-54,1954,2P_pct,0.3706563706563706,60.18518518518518
bob-donham,Bob Donham,1953-54,1954,2P_pct,0.4476190476190476,95.37037037037037
