season,season_type,team,efgpct,tovpct
1968-69,Regular Season,Philadelphia 76ers*,45.4,13.6
1969-70,Regular Season,Philadelphia 76ers*,46.9,15.2
1970-71,Regular Season,Milwaukee Bucks*,50.9,16.0
1970-71,Regular Season,Chicago Bulls*,45.2,13.3
1970-71,Regular Season,New York Knicks*,45.0,11.8
1970-71,Regular Season,Los Angeles Lakers*,47.599999999999994,15.0
1970-71,Regular Season,Boston Celtics,44.2,14.4
1970-71,Regular Season,Phoenix Suns,43.7,14.6
1970-71,Regular Season,Philadelphia 76ers*,45.0,15.0
1970-71,Regular Season,Baltimore Bullets*,44.2,14.2
1970-71,Regular Season,San Diego Rockets,42.1,15.0
1970-71,Regular Season,Detroit Pistons,44.9,15.5
1970-71,Regular Season,San Francisco Warriors*,44.800000000000004,16.1
1970-71,Regular Season,Atlanta Hawks*,46.5,16.5
1970-71,Regular Season,Seattle SuperSonics,45.6,15.3
1970-71,Regular Season,Cincinnati Royals,45.4,14.2
1970-71,Regular Season,Portland Trail Blazers,43.5,12.7
1970-71,Regular Season,Buffalo Braves,43.6,16.4
1970-71,Regular Season,Cleveland Cavaliers,42.4,15.3
1971-72,Regular Season,Los Angeles Lakers*,49.0,14.8
1971-72,Regular Season,Milwaukee Bucks*,49.8,15.8
1971-72,Regular Season,Chicago Bulls*,45.1,12.6
1971-72,Regular Season,Phoenix Suns,45.7,14.9
1971-72,Regular Season,Boston Celtics*,45.300000000000004,14.4
1971-72,Regular Season,New York Knicks*,45.9,13.7
1971-72,Regular Season,Golden State Warriors*,43.9,13.6
1971-72,Regular Season,Seattle SuperSonics,46.400000000000006,16.3
1971-72,Regular Season,Baltimore Bullets*,45.0,15.2
1971-72,Regular Season,Houston Rockets,43.4,13.3
1971-72,Regular Season,Atlanta Hawks*,46.0,17.2
1971-72,Regular Season,Philadelphia 76ers,44.4,16.0
1971-72,Regular Season,Cincinnati Royals,45.9,16.2
1971-72,Regular Season,Detroit Pistons,45.4,17.3
1971-72,Regular Season,Cleveland Cavaliers,42.8,14.1
1971-72,Regular Season,Buffalo Braves,45.1,17.3
1971-72,Regular Season,Portland Trail Blazers,44.2,16.2
1972-73,Regular Season,Los Angeles Lakers*,47.8,17.2
1972-73,Regular Season,Milwaukee Bucks*,48.1,16.0
1972-73,Regular Season,Boston Celtics*,44.800000000000004,15.1
1972-73,Regular Season,New York Knicks*,46.7,13.7
1972-73,Regular Season,Chicago Bulls*,44.4,13.4
1972-73,Regular Season,Baltimore Bullets*,46.400000000000006,15.3
1972-73,Regular Season,Golden State Warriors*,45.5,14.5
1972-73,Regular Season,Detroit Pistons,46.300000000000004,16.3
1972-73,Regular Season,Atlanta Hawks*,46.1,16.0
1972-73,Regular Season,Phoenix Suns,45.5,15.1
1972-73,Regular Season,Houston Rockets,45.7,14.1
1972-73,Regular Season,Cleveland Cavaliers,43.5,16.6
1972-73,Regular Season,Kansas City-Omaha Kings,47.8,16.9
1972-73,Regular Season,Seattle SuperSonics,44.9,16.8
1972-73,Regular Season,Portland Trail Blazers,45.800000000000004,15.9
1972-73,Regular Season,Buffalo Braves,44.9,18.6
1972-73,Regular Season,Philadelphia 76ers,42.0,15.7
1973-74,Regular Season,Milwaukee Bucks*,49.2,16.9
1973-74,Regular Season,Detroit Pistons*,45.9,17.2
1973-74,Regular Season,Boston Celtics*,45.6,16.8
1973-74,Regular Season,Chicago Bulls*,44.6,16.8
1973-74,Regular Season,New York Knicks*,46.5,15.1
1973-74,Regular Season,Golden State Warriors,46.400000000000006,15.8
1973-74,Regular Season,Capital Bullets*,44.1,15.3
1973-74,Regular Season,Los Angeles Lakers*,45.300000000000004,17.7
1973-74,Regular Season,Buffalo Braves*,48.0,17.3
1973-74,Regular Season,Houston Rockets,48.0,16.8
1973-74,Regular Season,Atlanta Hawks,46.5,17.3
1973-74,Regular Season,Seattle SuperSonics,44.5,15.3
