Player_ID,Player,Display_Name,Player_Slug,NBA_Player_ID,Headshot_URL,Headshot_Source,Headshot_Status,Acquisition_Need,HTTP_Status,Content_Type,Verification_Status,Has_Headshot,alternate_url_present
P000010,A.W. Holt,A.W. Holt,a-w-holt,,https://www.basketball-reference.com/req/0/images/players/holtaw01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000038,Adama-Alpha Bal,Adama-Alpha Bal,adama-alpha-bal,,https://www.basketball-reference.com/req/0/images/players/balad01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000055,Al Attles,Al Attles,al-attles-p000055,,https://www.basketball-reference.com/req/0/images/players/attleal01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000056,Al Attles*,Al Attles*,al-attles-p000056,,https://www.basketball-reference.com/req/0/images/players/attleal01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000281,Art Williams,Art Williams,art-williams,,https://www.basketball-reference.com/req/0/images/players/williar01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000312,Barry Clemens,Barry Clemens,barry-clemens,,https://www.basketball-reference.com/req/0/images/players/clemeba01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000358,Bevo Nordmann,Bevo Nordmann,bevo-nordmann,,https://www.basketball-reference.com/req/0/images/players/nordmbe01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000374,Bill Gabor,Bill Gabor,bill-gabor,,https://www.basketball-reference.com/req/0/images/players/gaborbi01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000378,Bill Hosket,Bill Hosket,bill-hosket,,https://www.basketball-reference.com/req/0/images/players/hoskebi01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000391,Bill Smith,Bill Smith,bill-smith,,https://www.basketball-reference.com/req/0/images/players/smithbi01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000405,Billy Kenville,Billy Kenville,billy-kenville,,https://www.basketball-reference.com/req/0/images/players/kenvibi01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000407,Billy McGill,Billy McGill,billy-mcgill,,https://www.basketball-reference.com/req/0/images/players/mcgilbi01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000411,Billy Ray Bates,Billy Ray Bates,billy-ray-bates,,https://www.basketball-reference.com/req/0/images/players/batesbi01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000417,Bird Averitt,Bird Averitt,bird-averitt,,https://www.basketball-reference.com/req/0/images/players/averibi01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000503,Bobby Jones,Bobby Jones,bobby-jones-p000503,,https://www.basketball-reference.com/req/0/images/players/jonesbo01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000513,Bobby Watson,Bobby Watson,bobby-watson,,https://www.basketball-reference.com/req/0/images/players/watsobo01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000520,Bones McKinney,Bones McKinney,bones-mckinney,,https://www.basketball-reference.com/req/0/images/players/mckinbo01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000524,Boo Ellis,Boo Ellis,boo-ellis,,https://www.basketball-reference.com/req/0/images/players/ellisbo01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000560,Brandon Williams,Brandon Williams,brandon-williams,,https://www.basketball-reference.com/req/0/images/players/willibr01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000619,Bubba Wilson,Bubba Wilson,bubba-wilson,,https://www.basketball-reference.com/req/0/images/players/wilsobu01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000620,Bubbles Hawkins,Bubbles Hawkins,bubbles-hawkins,,https://www.basketball-reference.com/req/0/images/players/hawkibu01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000623,Bucky Bockhorn,Bucky Bockhorn,bucky-bockhorn,,https://www.basketball-reference.com/req/0/images/players/bockhbu01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000624,Bucky McConnell,Bucky McConnell,bucky-mcconnell,,https://www.basketball-reference.com/req/0/images/players/mcconbu01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000625,Bud Acton,Bud Acton,bud-acton,,https://www.basketball-reference.com/req/0/images/players/actonbu01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000627,Bud Ogden,Bud Ogden,bud-ogden,,https://www.basketball-reference.com/req/0/images/players/ogdenbu01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000628,Bud Olsen,Bud Olsen,bud-olsen,,https://www.basketball-reference.com/req/0/images/players/olsenbu01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000629,Bud Stallworth,Bud Stallworth,bud-stallworth,,https://www.basketball-reference.com/req/0/images/players/stallbu01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000643,C.J. Kupec,C.J. Kupec,c-j-kupec,,https://www.basketball-reference.com/req/0/images/players/kupeccj01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000676,Cameron Reynolds,Cameron Reynolds,cameron-reynolds,,https://www.basketball-reference.com/req/0/images/players/reynoca01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000719,Cedric Henderson,Cedric Henderson,cedric-henderson,,https://www.basketball-reference.com/req/0/images/players/hendece01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000740,Charles Davis,Charles Davis,charles-davis,,https://www.basketball-reference.com/req/0/images/players/davisch01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000743,Charles Johnson,Charles Johnson,charles-johnson,,https://www.basketball-reference.com/req/0/images/players/johnsch01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000744,Charles Jones,Charles Jones,charles-jones,,https://www.basketball-reference.com/req/0/images/players/jonesch01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000747,Charles Pittman,Charles Pittman,charles-pittman,,https://www.basketball-reference.com/req/0/images/players/pittmch01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000749,Charles Smith,Charles Smith,charles-smith,,https://www.basketball-reference.com/req/0/images/players/smithch01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000757,Charlie Lowery,Charlie Lowery,charlie-lowery,,https://www.basketball-reference.com/req/0/images/players/lowerch01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000772,Cheese Johnson,Cheese Johnson,cheese-johnson,,https://www.basketball-reference.com/req/0/images/players/johnsch01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000779,Chico Vaughn,Chico Vaughn,chico-vaughn,,https://www.basketball-reference.com/req/0/images/players/vaughch01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000809,Chris Johnson,Chris Johnson,chris-johnson,,https://www.basketball-reference.com/req/0/images/players/johnsch01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000831,Chris Smith,Chris Smith,chris-smith,,https://www.basketball-reference.com/req/0/images/players/smithch01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000839,Chris Wright,Chris Wright,chris-wright,,https://www.basketball-reference.com/req/0/images/players/wrighch01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000846,Chubby Cox,Chubby Cox,chubby-cox,,https://www.basketball-reference.com/req/0/images/players/coxch01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000857,Chuck Share,Chuck Share,chuck-share,,https://www.basketball-reference.com/req/0/images/players/sharech01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000867,Clarence Weatherspoon,Clarence Weatherspoon,clarence-weatherspoon,,https://www.basketball-reference.com/req/0/images/players/weathcl01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000887,Cliff Robinson,Cliff Robinson,cliff-robinson,,https://www.basketball-reference.com/req/0/images/players/robincl01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000936,Corky Devlin,Corky Devlin,corky-devlin,,https://www.basketball-reference.com/req/0/images/players/devlico01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000949,Cotton Nash,Cotton Nash,cotton-nash,,https://www.basketball-reference.com/req/0/images/players/nashco01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P000968,Cui Yongxi,Cui Yongxi,cui-yongxi,,https://www.basketball-reference.com/req/0/images/players/yongxcu01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001019,Dan Anderson,Dan Anderson,dan-anderson,,https://www.basketball-reference.com/req/0/images/players/anderda01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001054,Danny Schayes,Danny Schayes,danny-schayes,,https://www.basketball-reference.com/req/0/images/players/schayda01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001103,Dave Britton,Dave Britton,dave-britton,,https://www.basketball-reference.com/req/0/images/players/brittda01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001114,Dave Greenwood,Dave Greenwood,dave-greenwood,,https://www.basketball-reference.com/req/0/images/players/greenda01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001191,Dee Brown,Dee Brown,dee-brown,,https://www.basketball-reference.com/req/0/images/players/brownde01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001288,Dick Atha,Dick Atha,dick-atha,,https://www.basketball-reference.com/req/0/images/players/athadi01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001297,Dick Garrett,Dick Garrett,dick-garrett,,https://www.basketball-reference.com/req/0/images/players/garredi01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001315,Dike Eddleman,Dike Eddleman,dike-eddleman,,https://www.basketball-reference.com/req/0/images/players/eddledi01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001340,Don Ackerman,Don Ackerman,don-ackerman,,https://www.basketball-reference.com/req/0/images/players/ackerdo01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001425,Duck Williams,Duck Williams,duck-williams,,https://www.basketball-reference.com/req/0/images/players/willidu01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001440,Dwight Davis,Dwight Davis,dwight-davis,,https://www.basketball-reference.com/req/0/images/players/davisdw01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001471,Earnie Killum,Earnie Killum,earnie-killum,,https://www.basketball-reference.com/req/0/images/players/killuea01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001492,Ed Sherod,Ed Sherod,ed-sherod,,https://www.basketball-reference.com/req/0/images/players/sheroed01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001500,Eddie Johnson,Eddie Johnson,eddie-johnson,,https://www.basketball-reference.com/req/0/images/players/johnsed01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001503,Eddie Lee Wilkins,Eddie Lee Wilkins,eddie-lee-wilkins,,https://www.basketball-reference.com/req/0/images/players/wilkied01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001513,Edmund Lawrence,Edmund Lawrence,edmund-lawrence,,https://www.basketball-reference.com/req/0/images/players/lawreed01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001518,Egor Dёmin,Egor Dёmin,egor-d-min,,https://www.basketball-reference.com/req/0/images/players/dmineg01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001541,Em Bryant,Em Bryant,em-bryant,,https://www.basketball-reference.com/req/0/images/players/bryanem01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001594,Eugene Jeter,Eugene Jeter,eugene-jeter,,https://www.basketball-reference.com/req/0/images/players/jetereu01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001606,Fat Lever,Fat Lever,fat-lever,,https://www.basketball-reference.com/req/0/images/players/leverfa01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001607,Fatty Taylor,Fatty Taylor,fatty-taylor,,https://www.basketball-reference.com/req/0/images/players/taylofa01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001639,Frankie Brian,Frankie Brian,frankie-brian,,https://www.basketball-reference.com/req/0/images/players/brianfr01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001658,Fred Scolari,Fred Scolari,fred-scolari,,https://www.basketball-reference.com/req/0/images/players/scolafr01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001662,Freddie Boyd,Freddie Boyd,freddie-boyd,,https://www.basketball-reference.com/req/0/images/players/boydfr01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001679,Gar Heard,Gar Heard,gar-heard,,https://www.basketball-reference.com/req/0/images/players/heardga01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001726,Geoff Crompton,Geoff Crompton,geoff-crompton,,https://www.basketball-reference.com/req/0/images/players/crompge01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001730,George Bon Salle,George Bon Salle,george-bon-salle,,https://www.basketball-reference.com/req/0/images/players/sallege01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001738,George Johnson,George Johnson,george-johnson,,https://www.basketball-reference.com/req/0/images/players/johnsge01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001742,George King,George King,george-king,,https://www.basketball-reference.com/req/0/images/players/kingge01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001770,Gerald Henderson,Gerald Henderson,gerald-henderson,,https://www.basketball-reference.com/req/0/images/players/hendege01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001796,Goo Kennedy,Goo Kennedy,goo-kennedy,,https://www.basketball-reference.com/req/0/images/players/kennego01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001837,Greg Smith,Greg Smith,greg-smith,,https://www.basketball-reference.com/req/0/images/players/smithgr01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001859,Ha Seung-Jin,Ha Seung-Jin,ha-seung-jin,,https://www.basketball-reference.com/req/0/images/players/seungha01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001895,Hawkeye Whitney,Hawkeye Whitney,hawkeye-whitney,,https://www.basketball-reference.com/req/0/images/players/whitnha01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001925,Hot Rod Hundley,Hot Rod Hundley,hot-rod-hundley,,https://www.basketball-reference.com/req/0/images/players/hundlho01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001945,Hutch Jones,Hutch Jones,hutch-jones,,https://www.basketball-reference.com/req/0/images/players/joneshu01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001949,Ibo Kutluay,Ibo Kutluay,ibo-kutluay,,https://www.basketball-reference.com/req/0/images/players/kutluib01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001964,Isaac Austin,Isaac Austin,isaac-austin,,https://www.basketball-reference.com/req/0/images/players/austiis01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001966,Isaac Fontaine,Isaac Fontaine,isaac-fontaine,,https://www.basketball-reference.com/req/0/images/players/fontais01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P001970,Isaac Walthour,Isaac Walthour,isaac-walthour,,https://www.basketball-reference.com/req/0/images/players/walthis01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P002002,J.J. Anderson,J.J. Anderson,j-j-anderson,,https://www.basketball-reference.com/req/0/images/players/anderjj01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P002046,Jack Turner,Jack Turner,jack-turner,,https://www.basketball-reference.com/req/0/images/players/turneja01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P002141,James Ray,James Ray,james-ray,,https://www.basketball-reference.com/req/0/images/players/rayja01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P002385,Jim Paxson,Jim Paxson,jim-paxson,,https://www.basketball-reference.com/req/0/images/players/paxsoji01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P002413,Jo Jo English,Jo Jo English,jo-jo-english,,https://www.basketball-reference.com/req/0/images/players/englijo01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P002414,Jo Jo White,Jo Jo White,jo-jo-white-p002414,,https://www.basketball-reference.com/req/0/images/players/whitejo01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P002415,Jo Jo White*,Jo Jo White*,jo-jo-white-p002415,,https://www.basketball-reference.com/req/0/images/players/whitejo01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P002441,Joe Hassett,Joe Hassett,joe-hassett,,https://www.basketball-reference.com/req/0/images/players/hassejo01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P002549,John Warren,John Warren,john-warren,,https://www.basketball-reference.com/req/0/images/players/warrejo01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P002557,Johnny Austin,Johnny Austin,johnny-austin,,https://www.basketball-reference.com/req/0/images/players/austijo01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P002560,Johnny Davis,Johnny Davis,johnny-davis,,https://www.basketball-reference.com/req/0/images/players/davisjo01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P002770,Ken Johnson,Ken Johnson,ken-johnson,,https://www.basketball-reference.com/req/0/images/players/johnske01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P002799,Kenny Sears,Kenny Sears,kenny-sears,,https://www.basketball-reference.com/req/0/images/players/searske01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P002808,Kenton Edelin,Kenton Edelin,kenton-edelin,,https://www.basketball-reference.com/req/0/images/players/edelike01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P002880,Kiwane Lemorris Garris,Kiwane Lemorris Garris,kiwane-lemorris-garris,,https://www.basketball-reference.com/req/0/images/players/garriki01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P002882,Kleggie Hermsen,Kleggie Hermsen,kleggie-hermsen,,https://www.basketball-reference.com/req/0/images/players/hermskl01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P002964,Larry Johnson,Larry Johnson,larry-johnson,,https://www.basketball-reference.com/req/0/images/players/johnsla01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P003051,Logan Vander Velden,Logan Vander Velden,logan-vander-velden,,https://www.basketball-reference.com/req/0/images/players/veldelo01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P003070,Louie Dampier,Louie Dampier,louie-dampier-p003070,,https://www.basketball-reference.com/req/0/images/players/dampilo01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P003071,Louie Dampier*,Louie Dampier*,louie-dampier-p003071,,https://www.basketball-reference.com/req/0/images/players/dampilo01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P003106,Luther Rackley,Luther Rackley,luther-rackley,,https://www.basketball-reference.com/req/0/images/players/rackllu01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
P003148,Manny Leaks,Manny Leaks,manny-leaks,,https://www.basketball-reference.com/req/0/images/players/leaksma01.jpg,Basketball-Reference (alternate),alternate_candidate,verify_alternate_headshot,,,unverified,True,True
