Player_ID,Player,Display_Name,Player_Slug,NBA_Player_ID,Headshot_URL,Headshot_Source,Headshot_Status,Acquisition_Need,HTTP_Status,Content_Type,Verification_Status,Has_Headshot,Original_NBA_CDN_URL
P000001,A.C. Green,A.C. Green,a-c-green,920.0,https://cdn.nba.com/headshots/nba/latest/1040x760/920.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/920.png
P000002,A.J. Bramlett,A.J. Bramlett,a-j-bramlett,1920.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1920.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1920.png
P000003,A.J. English,A.J. English,a-j-english,76672.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76672.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/76672.png
P000004,A.J. Green,A.J. Green,a-j-green,1631260.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631260.png,NBA CDN,verified,none,200.0,image/avif,verified,True,
P000005,A.J. Guyton,A.J. Guyton,a-j-guyton,2062.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2062.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/2062.png
P000006,A.J. Hammons,A.J. Hammons,a-j-hammons,1627773.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627773.png,NBA CDN,verified,none,200.0,image/webp,verified,True,
P000007,A.J. Lawson,A.J. Lawson,a-j-lawson,1630639.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630639.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000008,A.J. Price,A.J. Price,a-j-price,201985.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201985.png,NBA CDN,verified,visual_verification,200.0,image/avif,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201985.png
P000009,A.J. Wynder,A.J. Wynder,a-j-wynder,78627.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78627.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/78627.png
P000010,A.W. Holt,A.W. Holt,a-w-holt,,,NBA CDN,verified,verify_alternate_headshot,,,verified,True,
P000011,AJ Griffin,AJ Griffin,aj-griffin,1631100.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631100.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000012,AJ Johnson,AJ Johnson,aj-johnson,1642358.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642358.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000013,Aaron Brooks,Aaron Brooks,aaron-brooks,201166.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201166.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000014,Aaron Gordon,Aaron Gordon,aaron-gordon,203932.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000015,Aaron Gray,Aaron Gray,aaron-gray,201189.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201189.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201189.png
P000016,Aaron Harrison,Aaron Harrison,aaron-harrison,1626151.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626151.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000017,Aaron Henry,Aaron Henry,aaron-henry,1630565.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630565.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000018,Aaron Holiday,Aaron Holiday,aaron-holiday,1628988.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628988.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000019,Aaron Jackson,Aaron Jackson,aaron-jackson,1628935.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628935.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628935.png
P000020,Aaron James,Aaron James,aaron-james,77115.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77115.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/77115.png
P000021,Aaron McKie,Aaron McKie,aaron-mckie,243.0,https://cdn.nba.com/headshots/nba/latest/1040x760/243.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/243.png
P000022,Aaron Miles,Aaron Miles,aaron-miles,101223.0,https://cdn.nba.com/headshots/nba/latest/1040x760/101223.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000023,Aaron Nesmith,Aaron Nesmith,aaron-nesmith,1630174.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630174.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000024,Aaron Swinson,Aaron Swinson,aaron-swinson,78286.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78286.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/78286.png
P000025,Aaron Wiggins,Aaron Wiggins,aaron-wiggins,1630598.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630598.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000026,Aaron Williams,Aaron Williams,aaron-williams,1425.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1425.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1425.png
P000027,Abdel Nader,Abdel Nader,abdel-nader,1627846.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627846.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000028,Abdul Jeelani,Abdul Jeelani,abdul-jeelani,77126.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77126.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/77126.png
P000029,Ace Bailey,Ace Bailey,ace-bailey,1642846.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642846.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000030,Acie Earl,Acie Earl,acie-earl,768.0,https://cdn.nba.com/headshots/nba/latest/1040x760/768.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/768.png
P000031,Acie Law,Acie Law,acie-law,201151.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201151.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201151.png
P000032,Adam Flagler,Adam Flagler,adam-flagler,1641745.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641745.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000033,Adam Harrington,Adam Harrington,adam-harrington,2492.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2492.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/2492.png
P000034,Adam Keefe,Adam Keefe,adam-keefe,228.0,https://cdn.nba.com/headshots/nba/latest/1040x760/228.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/228.png
