SeasonEndYear,Season,Season_Type,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,DRB%,Unnamed: 27_level_1,Arena,Attend.,Attend./G,G,Estimated_Team_Possessions,League_ORtg,League_DRtg,Relative_ORtg,Relative_DRtg,Relative_NRtg,W/L%,Unnamed: 15_level_1,Unnamed: 20_level_1,Opponent_TOV%,Opponent_eFG%
1952,1951-52,Regular Season,1.0,Minneapolis Lakers*,25.9,40.0,26.0,49.0,17.0,6.03,-0.75,5.28,85.3,79.3,6.0,97.2,0.335,,0.429,,,,,,,,,Minneapolis Auditorium,,401.0,66.0,6415.2,86.92079478553408,86.9467094196804,-1.6207947855340876,-7.646709419680405,6.025914634146318,,,,,
1952,1951-52,Regular Season,2.0,Syracuse Nationals*,25.8,40.0,26.0,45.0,21.0,4.45,-0.52,3.94,89.2,84.6,4.6,96.1,0.497,,0.451,,,,,,,,,Onondaga War Memorial,,1016.0,66.0,6342.599999999999,86.92079478553408,86.9467094196804,2.279205214465918,-2.3467094196804084,4.625914634146326,,,,,
1952,1951-52,Regular Season,3.0,Boston Celtics*,24.9,39.0,27.0,43.0,23.0,4.08,-0.47,3.6,90.4,86.4,4.0,100.0,0.437,,0.459,,,,,,,,,Boston Garden,160167.0,5528.0,66.0,6600.0,86.92079478553408,86.9467094196804,3.479205214465921,-0.546709419680397,4.025914634146318,,,,,
1952,1951-52,Regular Season,4.0,Rochester Royals*,28.9,41.0,25.0,42.0,24.0,3.35,-0.43,2.92,91.6,88.1,3.5,92.7,0.416,,0.465,,,,,,,,,Edgerton Park Arena,,325.0,66.0,6118.2,86.92079478553408,86.9467094196804,4.6792052144659095,1.1532905803195916,3.525914634146318,,,,,
1952,1951-52,Regular Season,5.0,New York Knicks*,25.5,37.0,29.0,35.0,31.0,0.74,-0.07,0.67,88.7,87.9,0.8,94.9,0.414,,0.449,,,,,,,,,Madison Square Garden (III),,1489.0,66.0,6263.400000000001,86.92079478553408,86.9467094196804,1.779205214465918,0.953290580319603,0.825914634146315,,,,,
1952,1951-52,Regular Season,6.0,Indianapolis Olympians*,24.5,34.0,32.0,33.0,33.0,0.12,-0.04,0.08,85.2,85.1,0.1,96.7,0.356,,0.429,,,,,,,,,Hinkle Fieldhouse,,135.0,66.0,6382.2,86.92079478553408,86.9467094196804,-1.720794785534082,-1.8467094196804084,0.1259146341463264,,,,,
1952,1951-52,Regular Season,7.0,Philadelphia Warriors*,26.6,33.0,33.0,30.0,36.0,-1.26,0.17,-1.08,89.5,90.8,-1.3,95.5,0.399,,0.453,,,,,,,,,Philadelphia Arena,,668.0,66.0,6303.0,86.92079478553408,86.9467094196804,2.579205214465915,3.8532905803195945,-1.2740853658536793,,,,,
1952,1951-52,Regular Season,8.0,Fort Wayne Pistons*,26.5,29.0,37.0,27.0,39.0,-2.05,0.22,-1.83,85.6,87.9,-2.3,90.1,0.438,,0.431,,,,,,,,,North Side High School Gym,,91.0,66.0,5946.599999999999,86.92079478553408,86.9467094196804,-1.3207947855340905,0.953290580319603,-2.274085365853693,,,,,
1952,1951-52,Regular Season,9.0,Baltimore Bullets,27.3,20.0,46.0,15.0,51.0,-7.5,0.92,-6.6,83.0,90.6,-7.6,97.3,0.402,,0.416,,,,,,,,,Baltimore Coliseum,,324.0,66.0,6421.8,86.92079478553408,86.9467094196804,-3.920794785534085,3.653290580319592,-7.574085365853676,,,,,
1952,1951-52,Regular Season,10.0,Milwaukee Hawks,26.6,17.0,49.0,13.0,53.0,-7.94,0.93,-7.04,80.4,89.1,-8.7,90.7,0.431,,0.402,,,,,,,,,Milwaukee Arena,,136.0,66.0,5986.2,86.92079478553408,86.9467094196804,-6.520794785534079,2.153290580319592,-8.67408536585367,,,,,
1952,1951-52,Playoffs,1.0,Minneapolis Lakers,25.9,9.0,4.0,8.0,5.0,,,,93.1,89.2,3.9,86.4,0.443,,0.474,,,,,,,,,,,,13.0,1123.2,93.79241891711526,93.8660008008186,-0.6924189171152619,-4.666000800818594,3.973581883703332,0.692,,,,
1952,1951-52,Playoffs,2.0,Rochester Royals,29.0,3.0,3.0,4.0,2.0,,,,93.1,90.1,3.0,88.0,0.536,,0.474,,,,,,,,,,,,6.0,528.0,93.79241891711526,93.8660008008186,-0.6924189171152619,-3.7660008008186026,3.0735818837033406,0.5,,,,
1952,1951-52,Playoffs,3.0,Syracuse Nationals,25.4,3.0,4.0,4.0,3.0,,,,94.8,92.5,2.3,97.9,0.655,,0.484,,,,,,,,,,,,7.0,685.3000000000001,93.79241891711526,93.8660008008186,1.007581082884741,-1.3660008008185969,2.373581883703338,0.429,,,,
1952,1951-52,Playoffs,4.0,Boston Celtics,24.7,1.0,2.0,2.0,1.0,,,,99.8,97.7,2.1,90.2,0.551,,0.512,,,,,,,,,,,,3.0,270.6,93.79241891711526,93.8660008008186,6.007581082884741,3.833999199181406,2.173581883703335,0.333,,,,
1952,1951-52,Playoffs,5.0,New York Knicks,25.5,8.0,6.0,6.0,8.0,,,,94.9,96.6,-1.7,89.0,0.58,,0.484,,,,,,,,,,,,14.0,1246.0,93.79241891711526,93.8660008008186,1.1075810828847494,2.733999199181397,-1.626418116296648,0.571,,,,
1952,1951-52,Playoffs,6.0,Indianapolis Olympians,24.3,0.0,2.0,0.0,2.0,,,,84.6,92.7,-8.1,92.8,0.35,,0.425,,,,,,,,,,,,2.0,185.6,93.79241891711526,93.8660008008186,-9.192418917115262,-1.166000800818594,-8.026418116296668,0.0,,,,
1952,1951-52,Playoffs,7.0,Philadelphia Warriors,26.7,1.0,2.0,1.0,2.0,,,,96.6,106.1,-9.5,88.3,0.563,,0.493,,,,,,,,,,,,3.0,264.9,93.79241891711526,93.8660008008186,2.807581082884738,12.233999199181396,-9.42641811629666,0.333,,,,
1952,1951-52,Playoffs,8.0,Fort Wayne Pistons,26.8,0.0,2.0,0.0,2.0,,,,85.5,97.5,-12.0,95.9,0.345,,0.431,,,,,,,,,,,,2.0,191.8,93.79241891711526,93.8660008008186,-8.292418917115256,3.633999199181403,-11.92641811629666,0.0,,,,
1953,1952-53,Regular Season,1.0,Minneapolis Lakers*,26.5,48.0,22.0,52.0,18.0,6.13,-0.59,5.54,90.1,83.6,6.5,93.7,0.4,,0.457,,,,,,,,,Minneapolis Auditorium,,442.0,70.0,6559.0,88.05005711988996,88.0197373567172,2.049942880110038,-4.419737356717207,6.469680236827244,,,,,
1953,1952-53,Regular Season,2.0,New York Knicks*,26.0,47.0,23.0,50.0,20.0,5.23,-0.84,4.39,90.5,85.0,5.5,93.1,0.497,,0.46,,,,,,,,,Madison Square Garden (III),,2090.0,70.0,6517.0,88.05005711988996,88.0197373567172,2.449942880110044,-3.019737356717201,5.469680236827244,,,,,
1953,1952-53,Regular Season,3.0,Syracuse Nationals*,25.8,47.0,24.0,48.0,23.0,4.31,-0.69,3.62,90.6,86.0,4.6,92.8,0.554,,0.459,,,,,,,,,Onondaga War Memorial,,453.0,71.0,6588.8,88.05005711988996,88.0197373567172,2.549942880110038,-2.019737356717201,4.569680236827239,,,,,
1953,1952-53,Regular Season,4.0,Rochester Royals*,29.2,44.0,26.0,43.0,27.0,2.8,-0.18,2.62,89.8,86.9,2.9,94.1,0.506,,0.455,,,,,,,,,Edgerton Park Arena,,296.0,70.0,6587.0,88.05005711988996,88.0197373567172,1.7499428801100407,-1.119737356717195,2.869680236827236,,,,,
1953,1952-53,Regular Season,5.0,Boston Celtics*,25.4,46.0,25.0,42.0,29.0,2.37,-0.43,1.94,91.7,89.3,2.4,94.7,0.471,,0.467,,,,,,,,,Boston Garden,161808.0,6994.0,71.0,6723.7,88.05005711988996,88.0197373567172,3.6499428801100464,1.2802626432827964,2.36968023682725,,,,,
1953,1952-53,Regular Season,6.0,Fort Wayne Pistons*,26.5,36.0,33.0,34.0,35.0,-0.12,0.29,0.17,87.6,87.7,-0.1,91.1,0.476,,0.442,,,,,,,,,War Memorial Coliseum,,227.0,69.0,6285.9,88.05005711988996,88.0197373567172,-0.4500571198899621,-0.3197373567171979,-0.1303197631727641,,,,,
1953,1952-53,Regular Season,7.0,Indianapolis Olympians*,25.5,28.0,43.0,27.0,44.0,-2.79,0.49,-2.3,84.9,88.0,-3.1,86.3,0.438,,0.427,,,,,,,,,Hinkle Fieldhouse,,506.0,71.0,6127.3,88.05005711988996,88.0197373567172,-3.1500571198899507,-0.0197373567172007,-3.13031976317275,,,,,
1953,1952-53,Regular Season,8.0,Milwaukee Hawks,26.3,27.0,44.0,27.0,45.0,-2.88,0.51,-2.49,84.0,87.2,-3.2,87.2,0.451,,0.423,,,,,,,,,Milwaukee Arena,,145.0,71.0,6191.2,88.05005711988996,88.0197373567172,-4.050057119889956,-0.8197373567171979,-3.2303197631727585,,,,,
1953,1952-53,Regular Season,9.0,Baltimore Bullets*,26.3,16.0,54.0,18.0,52.0,-6.41,0.62,-5.8,86.8,93.4,-6.6,95.2,0.453,,0.439,,,,,,,,,Baltimore Coliseum,,170.0,70.0,6664.0,88.05005711988996,88.0197373567172,-1.2500571198899593,5.380262643282805,-6.630319763172764,,,,,
1953,1952-53,Regular Season,10.0,Philadelphia Warriors,26.0,12.0,57.0,13.0,57.0,-8.61,0.91,-7.75,83.9,93.0,-9.1,93.4,0.414,,0.422,,,,,,,,,Convention Hall,,,69.0,6444.6,88.05005711988996,88.0197373567172,-4.150057119889951,4.980262643282799,-9.13031976317275,,,,,
1953,1952-53,Playoffs,1.0,Minneapolis Lakers,26.5,9.0,3.0,9.0,3.0,,,,89.6,83.9,5.7,92.6,0.474,,0.454,,,,,,,,,,,,12.0,1111.1999999999998,90.05158012992722,89.98151223562742,-0.4515801299272226,-6.081512235627415,5.629932105700192,0.75,,,,
1953,1952-53,Playoffs,2.0,New York Knicks,26.2,6.0,5.0,6.0,5.0,,,,91.3,89.0,2.3,90.9,0.517,,0.464,,,,,,,,,,,,11.0,999.9,90.05158012992722,89.98151223562742,1.2484198700727802,-0.9815122356274202,2.2299321057002004,0.545,,,,
1953,1952-53,Playoffs,3.0,Rochester Royals,29.3,1.0,2.0,2.0,1.0,,,,86.3,85.2,1.1,86.9,0.688,,0.434,,,,,,,,,,,,3.0,260.70000000000005,90.05158012992722,89.98151223562742,-3.75158012992722,-4.781512235627417,1.0299321057001976,0.333,,,,
1953,1952-53,Playoffs,4.0,Boston Celtics,25.4,3.0,3.0,3.0,3.0,,,,94.8,95.2,-0.4,87.4,0.613,,0.483,,,,,,,,,,,,6.0,524.4000000000001,90.05158012992722,89.98151223562742,4.74841987007278,5.218487764372583,-0.4700678942998024,0.5,,,,
1953,1952-53,Playoffs,5.0,Fort Wayne Pistons,26.9,4.0,4.0,3.0,5.0,,,,91.0,95.4,-4.4,84.0,0.727,,0.461,,,,,,,,,,,,8.0,672.0,90.05158012992722,89.98151223562742,0.9484198700727832,5.4184877643725855,-4.470067894299802,0.5,,,,
1953,1952-53,Playoffs,6.0,Syracuse Nationals,26.2,0.0,2.0,1.0,1.0,,,,96.5,102.7,-6.2,79.8,0.773,,0.492,,,,,,,,,,,,2.0,159.6,90.05158012992722,89.98151223562742,6.448419870072783,12.718487764372584,-6.2700678942998,0.0,,,,
1953,1952-53,Playoffs,7.0,Indianapolis Olympians,25.5,0.0,2.0,0.0,2.0,,,,79.4,89.0,-9.6,93.2,0.394,,0.394,,,,,,,,,,,,2.0,186.4,90.05158012992722,89.98151223562742,-10.651580129927211,-0.9815122356274202,-9.670067894299793,0.0,,,,
1953,1952-53,Playoffs,8.0,Baltimore Bullets,24.9,0.0,2.0,0.0,2.0,,,,79.3,94.2,-14.9,90.2,0.414,,0.398,,,,,,,,,,,,2.0,180.4,90.05158012992722,89.98151223562742,-10.75158012992722,4.218487764372583,-14.970067894299802,0.0,,,,
1954,1953-54,Regular Season,1.0,Syracuse Nationals*,25.5,42.0,30.0,50.0,22.0,4.9,-0.64,4.27,88.2,83.0,5.2,93.5,0.475,,0.446,,,,,,,,,Onondaga War Memorial,,489.0,72.0,6732.0,87.50250586347363,87.50303666214049,0.6974941365263732,-4.503036662140488,5.200530798666861,,,,,
1954,1953-54,Regular Season,2.0,Minneapolis Lakers*,27.3,46.0,26.0,45.0,27.0,3.06,-0.35,2.71,86.8,83.5,3.3,93.5,0.356,,0.438,,,,,,,,,Minneapolis Auditorium,,562.0,72.0,6732.0,87.50250586347363,87.50303666214049,-0.7025058634736325,-4.003036662140488,3.3005307986668555,,,,,
1954,1953-54,Regular Season,3.0,Rochester Royals*,29.2,44.0,28.0,44.0,28.0,2.43,-0.2,2.24,86.6,84.0,2.6,90.9,0.462,,0.438,,,,,,,,,Edgerton Park Arena,,267.0,72.0,6544.8,87.50250586347363,87.50303666214049,-0.9025058634736354,-3.503036662140488,2.6005307986668527,,,,,
1954,1953-54,Regular Season,4.0,Boston Celtics*,26.4,42.0,30.0,43.0,29.0,2.33,-0.32,1.97,92.5,90.0,2.5,93.0,0.457,,0.471,,,,,,,,,Boston Garden,156912.0,7130.0,72.0,6696.0,87.50250586347363,87.50303666214049,4.99749413652637,2.496963337859512,2.5005307986668583,,,,,
1954,1953-54,Regular Season,5.0,Fort Wayne Pistons*,26.8,40.0,32.0,41.0,31.0,1.63,-0.18,1.45,89.0,87.2,1.8,86.9,0.446,,0.451,,,,,,,,,War Memorial Coliseum,,203.0,72.0,6256.8,87.50250586347363,87.50303666214049,1.4974941365263703,-0.3030366621404852,1.8005307986668555,,,,,
1954,1953-54,Regular Season,6.0,New York Knicks*,27.1,44.0,28.0,36.0,36.0,-0.13,-0.02,-0.16,89.3,89.4,-0.1,87.4,0.488,,0.452,,,,,,,,,Madison Square Garden (III),,2269.0,72.0,6292.8,87.50250586347363,87.50303666214049,1.7974941365263677,1.8969633378595177,-0.0994692013331501,,,,,
1954,1953-54,Regular Season,7.0,Philadelphia Warriors,24.8,29.0,43.0,29.0,43.0,-2.14,0.22,-1.89,86.7,89.0,-2.3,89.4,0.418,,0.438,,,,,,,,,Convention Hall,,,72.0,6436.8,87.50250586347363,87.50303666214049,-0.8025058634736268,1.496963337859512,-2.299469201333139,,,,,
1954,1953-54,Regular Season,8.0,Milwaukee Hawks,26.1,21.0,51.0,19.0,53.0,-5.29,0.75,-4.55,82.9,89.2,-6.3,84.2,0.433,,0.416,,,,,,,,,Milwaukee Arena,,689.0,72.0,6062.400000000001,87.50250586347363,87.50303666214049,-4.602505863473624,1.6969633378595148,-6.299469201333139,,,,,
1954,1953-54,Regular Season,9.0,Baltimore Bullets,24.1,16.0,56.0,17.0,55.0,-6.76,0.79,-5.98,85.2,92.6,-7.4,91.3,0.417,,0.43,,,,,,,,,Baltimore Coliseum,,,72.0,6573.599999999999,87.50250586347363,87.50303666214049,-2.302505863473627,5.096963337859506,-7.399469201333133,,,,,
1954,1953-54,Playoffs,1.0,Minneapolis Lakers,27.4,9.0,4.0,10.0,3.0,,,,92.2,85.1,7.1,87.1,0.451,,0.47,,,,,,,,,,,,13.0,1132.3,92.5908144412264,92.61659842205133,-0.3908144412263823,-7.516598422051331,7.125783980824949,0.692,,,,
1954,1953-54,Playoffs,2.0,Syracuse Nationals,25.5,9.0,4.0,7.0,6.0,,,,94.3,92.7,1.6,85.7,0.668,,0.483,,,,,,,,,,,,13.0,1114.1,92.5908144412264,92.61659842205133,1.709185558773612,0.0834015779486776,1.6257839808249344,0.692,,,,
1954,1953-54,Playoffs,3.0,Boston Celtics,26.5,2.0,4.0,2.0,4.0,,,,92.9,95.2,-2.3,92.0,0.574,,0.473,,,,,,,,,,,,6.0,552.0,92.5908144412264,92.61659842205133,0.3091855587736205,2.5834015779486776,-2.274216019175057,0.333,,,,
1954,1953-54,Playoffs,4.0,Rochester Royals,29.3,3.0,3.0,2.0,4.0,,,,93.6,97.1,-3.5,85.6,0.532,,0.478,,,,,,,,,,,,6.0,513.5999999999999,92.5908144412264,92.61659842205133,1.0091855587736092,4.483401577948669,-3.47421601917506,0.5,,,,
1954,1953-54,Playoffs,5.0,Fort Wayne Pistons,27.2,0.0,4.0,1.0,3.0,,,,84.9,94.6,-9.7,89.6,0.376,,0.426,,,,,,,,,,,,4.0,358.4,92.5908144412264,92.61659842205133,-7.6908144412263795,1.983401577948669,-9.674216019175049,0.0,,,,
1954,1953-54,Playoffs,6.0,New York Knicks,27.1,0.0,4.0,1.0,3.0,,,,94.4,104.5,-10.1,83.7,0.716,,0.481,,,,,,,,,,,,4.0,334.8,92.5908144412264,92.61659842205133,1.8091855587736203,11.883401577948677,-10.074216019175054,0.0,,,,
1955,1954-55,Regular Season,1.0,Fort Wayne Pistons*,27.1,43.0,29.0,43.0,29.0,2.39,-0.38,2.01,91.2,88.9,2.3,100.7,0.453,,0.464,,,,,,,,,War Memorial Coliseum,,,72.0,7250.400000000001,89.69546226644019,89.6820917253094,1.504537733559815,-0.7820917253093995,2.286629458869214,,,,,
1955,1954-55,Regular Season,2.0,Syracuse Nationals*,26.2,43.0,29.0,40.0,32.0,1.39,-0.16,1.23,87.5,86.2,1.3,103.6,0.386,,0.442,,,,,,,,,Onondaga War Memorial,,,72.0,7459.2,89.69546226644019,89.6820917253094,-2.195462266440188,-3.4820917253094024,1.2866294588692142,,,,,
1955,1954-55,Regular Season,3.0,Minneapolis Lakers*,26.8,40.0,32.0,39.0,33.0,1.17,-0.21,0.96,89.7,88.6,1.1,105.5,0.389,,0.455,,,,,,,,,Minneapolis Auditorium,,,72.0,7596.0,89.69546226644019,89.6820917253094,0.0045377335598146,-1.082091725309411,1.0866294588692256,,,,,
1955,1954-55,Regular Season,4.0,New York Knicks*,27.1,38.0,34.0,36.0,36.0,0.08,0.03,0.11,90.2,90.1,0.1,101.8,0.422,,0.458,,,,,,,,,Madison Square Garden (III),,,72.0,7329.599999999999,89.69546226644019,89.6820917253094,0.5045377335598147,0.4179082746905891,0.0866294588692255,,,,,
1955,1954-55,Regular Season,5.0,Boston Celtics*,26.7,36.0,36.0,36.0,36.0,-0.06,0.05,-0.03,93.0,93.0,0.0,108.6,0.414,,0.473,,,,,,,,,Boston Garden,175675.0,,72.0,7819.2,89.69546226644019,89.6820917253094,3.304537733559812,3.317908274690595,-0.0133705411307829,,,,,
